raw_feature,mean_abs_shap,importance_share,cumulative_importance_share
standard_cost,716.2414036341816,0.3769954786356127,0.3769954786356127
avg_unit_price,309.87732791285833,0.16310471715552968,0.5401001957911424
list_price,187.6781809451399,0.09878488634679863,0.638885082137941
rolling_avg_sales_3m,184.99107687611524,0.0973705223076554,0.7362556044455965
current_month_gross_sales,117.28579733601438,0.0617336767736392,0.7979892812192356
month_num,33.4967358087021,0.017631091814655962,0.8156203730338916
current_month_net_sales,28.181860794458302,0.014833593876507338,0.8304539669103989
product_key,26.462744781795077,0.013928732804897,0.8443826997152959
customer_key,25.973356318559574,0.013671141946563367,0.8580538416618593
current_month_margin_amount,23.229486584142556,0.012226899155527167,0.8702807408173865
month_cos,20.68899166848706,0.01088970321594692,0.8811704440333334
year_num,19.11236947760494,0.010059844128684896,0.8912302881620183
store_id,18.284095348916264,0.00962387994118874,0.9008541681032071
current_month_order_qty,17.65781690286512,0.009294236693353254,0.9101484047965603
previous_month_sales,17.445039072745338,0.009182240543030136,0.9193306453395905
size,16.141147094139768,0.008495933694432193,0.9278265790340228
sales_growth_previous_period,14.429989669711855,0.0075952616459163185,0.935421840679939
territory_id,12.928428023031982,0.0068049108663904775,0.9422267515463295
bonus,11.244221238176392,0.005918424355339418,0.9481451759016689
month_sin,10.785806391872416,0.0056771365388027665,0.9538223124404717
sales_ytd,10.685249846943131,0.00562420834644582,0.9594465207869175
weight,10.273400749447942,0.005407430529849301,0.9648539513167668
previous_month_margin,9.561841051835259,0.00503289927904728,0.969886850595814
product_model_name,8.709270157688454,0.004584146427454482,0.9744709970232686
sales_last_year,8.28757305557586,0.004362185088660689,0.9788331821119293
quarter_num,6.838274894081261,0.003599343327061786,0.9824325254389911
color,5.267235983228796,0.002772423013398239,0.9852049484523893
salesperson_key,5.201337186754739,0.0027377370148058753,0.9879426854671951
product_profitability_ratio,4.87151425803485,0.002564133880098989,0.9905068193472941
is_q4,4.284047561270154,0.002254919294896923,0.9927617386421911
commission_pct,3.851879526981936,0.002027446554406327,0.9947891851965974
current_month_discount_amount,2.1758766755463292,0.001145278204509688,0.9959344634011071
product_subcategory_name,1.8860885282079831,0.000992747478480136,0.9969272108795872
is_mid_year,1.8550439694051855,0.0009764070962493569,0.9979036179758366
product_category_name,1.623718397278681,0.0008546482948983112,0.9987582662707349
sales_quota,1.0682664425546362,0.0005622847503339007,0.9993205510210689
is_year_end_season,0.729987040973969,0.00038423052969768654,0.9997047815507666
discount_percentage,0.310542766182704,0.00016345497227589835,0.9998682365230425
avg_unit_price_discount,0.2503331287299603,0.0001317634769576981,1.0000000000000002
number_of_order_lines,0.0,0.0,1.0000000000000002
number_of_orders,0.0,0.0,1.0000000000000002
