raw_feature,mean_abs_shap,importance_share,cumulative_importance_share
list_price,524.792383161766,0.30650481033106536,0.30650481033106536
standard_cost,346.6260340777423,0.2024468156163364,0.5089516259474017
current_month_gross_sales,202.71918306622723,0.11839806893125146,0.6273496948786532
rolling_avg_sales_3m,185.73987482422578,0.10848130981041042,0.7358310046890636
avg_unit_price,81.88907549224876,0.04782728628933087,0.7836582909783945
previous_month_sales,55.25359944201193,0.032270845691489775,0.8159291366698842
month_cos,34.13585619237252,0.01993703503220726,0.8358661717020914
month_num,25.740739177812312,0.015033869836187805,0.8509000415382793
product_model_name,23.645096711518466,0.013809910576750293,0.8647099521150295
customer_key,23.121866170703846,0.01350431795990324,0.8782142700749328
store_id,17.823156709928256,0.010409608527404055,0.8886238786023368
current_month_margin_amount,17.176504642257107,0.010031931610377152,0.898655810212714
current_month_order_qty,14.890859224673948,0.008697001192790568,0.9073528114055046
current_month_net_sales,14.402859406594887,0.008411985067402539,0.9157647964729072
year_num,13.721319757250207,0.008013932070335504,0.9237787285432427
bonus,13.218517664405335,0.007720270681477321,0.93149899922472
quarter_num,12.174657285012897,0.007110604387027369,0.9386096036117474
month_sin,11.205910214124069,0.0065448079944946886,0.945154411606242
territory_id,10.575415311833337,0.00617656766433396,0.951330979270576
is_q4,10.461529168050067,0.006110052501348319,0.9574410317719243
product_key,10.384182109434818,0.006064877978448994,0.9635059097503733
sales_growth_previous_period,9.311696041874571,0.005438492860700561,0.9689444026110738
previous_month_margin,7.932483905684045,0.004632964488389803,0.9735773670994636
current_month_discount_amount,6.624072811577972,0.0038687874402819505,0.9774461545397456
sales_ytd,5.568543982875023,0.0032523061920378365,0.9806984607317835
sales_last_year,4.878482831900755,0.0028492762148839795,0.9835477369466674
salesperson_key,4.5412354873614875,0.00265230701965692,0.9862000439663243
weight,4.212842371771826,0.002460509133793149,0.9886605531001175
color,3.983589655735602,0.0023266141640849,0.9909871672642023
commission_pct,3.982762789777453,0.0023261312333073135,0.9933132984975096
is_mid_year,3.317238301238819,0.0019374318853837844,0.9952507303828934
product_subcategory_name,3.08669064239188,0.0018027806047736957,0.997053510987667
product_category_name,1.923511689189515,0.001123426338455235,0.9981769373261222
product_profitability_ratio,1.6807537248499558,0.0009816436331347644,0.999158580959257
size,0.9277324026259616,0.000541841789683907,0.9997004227489409
avg_unit_price_discount,0.21240000983021087,0.0001240521524628489,0.9998244749014037
discount_percentage,0.16918762615525867,9.881397468586356e-05,0.9999232888760896
sales_quota,0.08119462077218037,4.7421690249663374e-05,0.9999707105663392
is_year_end_season,0.05014887588727725,2.9289433660488203e-05,0.9999999999999998
number_of_order_lines,0.0,0.0,0.9999999999999998
number_of_orders,0.0,0.0,0.9999999999999998
